Hip,Knee,Ankle,Body
165.79,170.95,135.24,169.99
165.27,170.34,134.6,169.74
165.71,169.84,134.63,170.4
166.11,168.88,134.8,171.23
166.46,168.21,135.18,171.87
166.26,167.81,135.87,171.85
165.9,167.47,136.42,171.65
165.16,166.94,137.08,171.15
164.58,166.49,137.3,170.79
164.0,166.32,138.19,170.3
163.55,165.96,142.56,170.0
163.38,165.22,145.29,170.2
163.57,165.06,147.44,170.52
163.74,164.96,146.99,170.79
165.31,164.66,143.94,172.34
165.6,161.49,137.5,174.03
164.73,160.74,132.53,173.62
165.6,161.23,131.49,174.23
166.23,163.2,131.81,174.34
170.03,167.48,138.68,176.27
170.47,168.85,146.84,176.0
170.96,168.87,147.47,176.28
170.97,168.14,144.2,176.58
171.43,169.66,143.04,176.4
170.99,169.84,143.1,175.77
170.53,170.08,144.22,175.2
170.37,170.34,147.1,174.82
170.19,171.96,154.27,174.01
170.65,172.81,155.26,174.14
171.25,172.19,145.13,175.02
170.08,171.54,145.54,174.11
169.68,171.43,144.67,173.79
168.99,172.02,148.85,172.79
170.51,173.3,152.78,173.84
172.31,174.27,153.26,175.12
173.1,174.1,153.91,175.88
173.05,173.97,146.49,175.83
173.04,174.47,147.62,175.59
171.95,175.89,152.71,173.83
171.14,176.92,156.91,172.6
171.13,176.85,162.01,172.64
170.86,174.24,161.41,173.64
172.66,172.39,158.05,176.28
172.16,172.07,153.61,175.94
171.79,172.13,153.59,175.53
171.51,172.36,153.81,175.13
171.57,173.15,157.56,175.01
170.99,173.12,157.27,174.34
170.59,172.13,155.34,174.44
170.22,172.32,152.79,173.97
169.21,172.55,151.87,172.83
168.91,171.86,149.85,172.83
168.78,172.21,151.2,172.55
169.24,172.11,152.42,173.08
169.41,171.97,153.48,173.25
169.47,171.74,152.63,173.46
169.78,171.22,150.98,173.92
170.02,171.73,155.8,173.95
170.66,172.99,158.92,174.17
172.43,174.48,159.51,175.19
173.73,175.28,158.13,176.07
173.57,175.64,156.27,175.65
173.09,175.39,152.45,175.26
172.67,175.74,153.05,174.68
173.26,175.59,152.82,175.32
174.44,176.14,154.8,176.21
175.71,175.92,150.91,177.58
175.96,174.67,140.12,178.42
174.44,172.72,140.31,177.75
173.4,172.77,141.05,176.76
172.76,173.19,143.76,176.11
172.55,173.17,152.98,175.94
172.7,175.0,155.33,175.12
172.08,174.75,152.54,174.59
171.81,174.45,152.01,174.48
171.15,173.27,151.53,174.35
171.7,173.98,154.4,174.55
171.76,173.78,156.69,174.7
171.77,173.74,158.78,174.76
172.17,173.5,158.04,175.25
172.74,172.46,153.84,176.32
172.04,171.63,149.72,176.02
171.71,171.87,150.87,175.54
173.18,173.67,155.75,176.3
174.1,175.07,161.41,176.53
174.81,175.86,154.66,176.8
175.83,176.38,148.07,177.53
176.06,177.32,152.13,177.32
175.97,176.66,153.71,177.54
175.38,176.57,157.19,177.02
175.12,175.66,161.41,177.17
175.93,174.79,160.68,178.35
175.24,171.92,155.51,178.99
173.35,170.35,154.1,177.81
172.91,171.1,155.56,177.06
172.75,172.4,160.12,176.48
172.97,172.74,162.2,176.51
172.9,172.42,161.65,176.59
172.51,171.56,157.63,176.61
172.89,172.0,155.92,176.78
173.63,172.57,155.61,177.22
174.19,172.36,154.71,177.88
174.13,172.18,157.15,177.89
173.93,171.67,156.07,177.91
173.81,171.07,153.12,177.96
173.79,170.2,150.65,178.34
173.06,169.83,149.47,177.82
172.93,170.84,150.86,177.24
172.94,171.32,154.45,177.06
173.16,172.58,156.69,176.84
173.2,173.02,152.88,176.61
172.88,173.11,142.43,176.2
171.68,173.23,142.63,174.95
171.58,172.81,143.19,175.06
170.83,171.79,149.51,174.81
171.17,171.13,151.91,175.43
170.7,169.19,150.49,175.83
171.07,167.83,147.04,176.82
170.79,167.35,145.61,176.78
171.1,168.15,148.83,176.75
171.71,169.37,154.34,176.91
172.27,170.07,159.13,177.2
172.61,170.41,156.8,177.34
172.2,170.95,150.13,176.57
173.1,172.47,153.55,176.7
173.05,172.64,154.31,176.57
173.65,173.71,155.58,176.74
174.03,173.38,152.22,177.27
174.32,171.89,146.78,178.21
175.19,171.08,141.71,179.39
174.25,170.28,137.41,178.83
174.08,170.51,138.36,178.53
173.81,171.6,150.81,177.84
173.68,172.47,158.14,177.31
173.62,173.87,159.87,176.68
173.33,172.91,158.83,176.79
172.78,172.66,157.2,176.36
172.06,172.64,154.36,175.64
171.62,173.01,155.36,174.96
171.66,172.68,154.89,175.11
171.58,173.15,157.36,174.79
171.81,172.22,149.11,175.4
171.51,172.45,147.92,175.03
171.79,173.29,149.69,174.94
172.87,174.79,151.17,175.41
174.04,174.99,158.37,176.45
174.67,175.81,161.86,176.69
174.31,176.19,166.6,176.1
175.62,176.52,165.56,177.24
175.17,177.57,161.22,176.31
175.5,178.05,162.68,176.42
175.53,178.73,163.54,176.13
175.67,179.76,165.61,175.78
175.0,178.91,166.49,175.52
174.82,178.43,164.32,175.57
174.51,177.69,163.82,175.62
174.29,176.69,163.18,175.89
173.39,173.81,153.51,176.32
173.13,173.7,152.09,176.11
172.85,172.23,149.23,176.43
172.43,171.63,149.41,176.25
171.45,170.72,147.93,175.68
171.0,170.54,146.82,175.29
171.0,171.11,151.18,175.16
171.03,171.67,152.13,175.01
171.87,173.52,154.76,175.01
172.36,174.6,157.13,174.97
172.49,175.37,159.26,174.74
172.87,175.97,159.8,174.8
173.8,176.74,158.65,175.37
173.24,176.54,156.98,174.89
171.71,176.47,156.23,173.42
171.86,176.67,156.38,173.46
171.99,176.36,157.42,173.72
171.9,176.03,157.06,173.77
171.51,175.18,159.65,173.79
171.34,174.57,159.35,173.92
171.54,172.75,163.76,175.02
171.75,172.32,162.59,175.46
172.28,172.01,162.67,176.1
172.42,171.93,165.5,176.25
172.67,171.6,162.16,176.66
172.58,171.13,159.79,176.78
172.46,169.93,154.84,177.21
172.3,170.21,151.89,176.96
171.67,171.11,152.58,175.89
171.44,171.85,153.19,175.29
171.75,172.46,155.62,175.41
171.93,172.76,157.19,175.48
172.2,173.33,161.54,175.45
172.5,173.25,162.85,175.73
172.75,173.93,162.51,175.71
173.35,173.77,160.14,176.34
173.66,173.52,157.11,176.8
173.34,172.91,156.44,176.72
173.09,173.16,152.62,176.37
172.59,173.02,149.31,175.95
172.67,174.0,152.18,175.54
172.67,174.94,151.71,175.1
172.77,175.01,149.54,175.17
172.81,175.1,149.51,175.18
172.32,175.2,150.27,174.69
171.96,174.98,150.62,174.43
171.66,173.64,149.81,174.72
171.23,172.71,150.56,174.74
172.24,172.16,146.6,175.98
172.8,171.03,143.76,177.0
173.08,169.5,139.43,177.93
172.27,168.78,136.32,177.39
171.71,169.37,137.08,176.64
171.76,169.59,136.79,176.57
171.85,170.6,138.04,176.15
172.0,171.23,139.17,175.99
172.59,173.6,147.06,175.73
172.58,174.17,151.21,175.49
172.31,174.49,158.12,175.01
172.15,174.58,162.15,174.77
171.96,174.68,162.39,174.58
171.73,174.54,162.29,174.39
171.92,174.89,161.81,174.37
171.75,175.18,162.84,174.06
171.67,175.63,165.54,173.74
171.61,176.56,167.36,173.26
171.45,176.85,157.57,172.95
171.41,177.13,154.33,172.77
171.43,178.02,155.29,172.39
171.53,178.38,155.88,172.31
171.33,177.28,155.43,172.64
171.5,177.12,155.09,172.88
171.8,176.05,152.36,173.65
171.71,175.36,151.13,173.87
170.98,173.71,148.22,173.92
170.35,172.26,147.34,173.83
169.89,172.01,147.11,173.45
169.86,172.3,146.97,173.34
170.66,173.24,147.48,173.84
171.33,173.94,147.86,174.26
171.26,174.09,149.59,174.17
171.29,173.8,153.67,174.33
171.82,174.26,155.08,174.67
171.98,174.44,155.44,174.7
171.66,174.7,153.72,174.21
171.65,175.12,154.86,173.97
171.4,175.85,151.83,173.38
171.34,176.2,150.49,173.15
171.46,177.57,153.03,172.62
171.68,177.9,150.39,172.69
171.45,177.69,151.93,172.56
171.3,177.47,152.54,172.53
171.51,177.17,152.89,172.89
171.58,177.02,155.44,173.04
172.37,176.78,157.77,173.93
172.62,176.64,157.63,174.22
173.04,176.42,157.59,174.75
172.84,175.66,156.5,174.89
173.24,174.11,151.51,175.96
172.83,172.32,147.14,176.3
172.68,172.87,146.8,175.94
172.71,173.16,146.32,175.86
172.48,174.09,151.89,175.32
172.66,174.42,153.63,175.36
173.25,175.92,159.97,175.31
173.03,175.39,160.84,175.32
173.2,175.93,160.51,175.22
173.61,176.88,161.07,175.12
173.45,176.81,158.96,174.96
173.53,176.76,157.96,175.05
173.14,176.47,143.98,174.83
172.89,176.3,145.47,174.63
172.81,177.19,146.63,174.14
