Hip,Knee,Ankle,Body
163.15,168.35,128.64,168.69
163.52,169.3,129.9,168.62
163.75,170.01,129.55,168.51
163.53,170.3,128.45,168.15
163.3,170.78,128.95,167.69
162.58,170.4,129.65,167.14
161.83,170.11,131.06,166.52
161.51,169.56,132.62,166.46
161.62,169.35,134.06,166.66
162.02,169.37,134.75,167.06
163.63,172.26,139.51,167.28
164.46,172.52,142.24,167.99
164.91,172.86,146.82,168.27
165.96,174.04,146.99,168.77
166.79,175.34,149.68,168.99
166.65,175.03,152.13,168.99
166.72,174.39,151.67,169.36
166.51,173.92,151.19,169.38
165.98,173.38,149.59,169.11
166.16,173.6,149.2,169.2
166.5,173.51,148.84,169.59
167.51,173.27,148.24,170.72
168.48,172.88,147.85,171.87
168.87,172.42,147.56,172.47
169.16,172.24,146.89,172.85
168.45,171.78,142.75,172.36
167.34,171.19,141.12,171.53
165.9,170.44,140.94,170.44
165.15,169.87,141.69,169.96
164.27,168.86,140.27,169.56
163.95,167.18,138.1,170.05
163.72,166.18,139.3,170.32
163.04,165.58,142.46,169.95
162.49,165.15,143.83,169.6
161.91,164.74,142.66,169.22
161.71,164.36,143.74,169.23
162.86,164.16,142.78,170.59
164.47,163.6,139.15,172.36
164.9,163.99,138.11,172.47
164.95,162.39,136.61,173.27
168.03,163.97,136.97,175.64
169.24,166.85,142.69,175.84
169.67,168.1,146.8,175.75
169.47,168.58,147.13,175.11
170.2,169.75,146.13,175.28
169.6,169.79,146.6,174.57
168.5,171.19,149.19,172.81
166.72,171.3,157.3,170.95
165.13,171.31,167.02,169.58
165.56,173.32,174.19,168.86
165.91,172.53,172.84,169.51
167.51,173.26,174.58,170.72
167.61,172.3,172.78,171.34
166.86,172.38,170.74,170.54
166.75,170.67,169.96,171.4
167.91,171.37,170.3,172.2
167.63,170.11,163.54,172.42
167.68,170.49,165.33,172.14
167.27,171.61,168.7,171.14
167.38,173.16,173.17,170.58
167.07,173.76,173.15,170.01
167.03,174.51,170.66,169.68
166.6,173.64,165.97,169.64
167.14,173.3,164.85,170.32
167.59,172.42,161.48,171.08
167.0,173.15,160.65,170.19
166.25,173.3,161.7,169.41
167.24,174.08,163.19,170.14
169.06,175.24,165.62,171.42
170.01,175.56,165.79,172.17
170.39,175.43,163.87,172.59
170.52,175.47,164.37,172.67
170.53,175.51,168.41,172.65
169.9,174.33,165.61,172.65
169.82,173.99,165.37,172.79
169.42,173.65,164.03,172.49
168.68,174.12,164.22,171.52
168.58,174.24,162.85,171.4
168.01,174.49,164.44,170.68
168.71,174.86,164.56,171.29
171.69,176.53,167.53,173.45
172.79,175.37,165.44,175.09
173.04,173.11,159.97,176.36
174.21,173.18,157.82,177.47
176.18,174.38,158.25,178.85
176.73,174.93,156.09,179.15
175.75,175.41,156.45,177.99
174.43,174.85,156.73,176.9
173.06,172.9,153.81,176.42
171.99,170.45,147.71,176.45
171.18,170.44,146.29,175.62
170.39,170.4,148.56,174.92
169.88,170.93,154.86,174.27
170.84,171.89,160.23,174.91
170.43,172.8,154.52,174.03
169.64,171.75,145.55,173.69
168.54,171.55,152.73,172.64
167.86,170.93,158.07,172.22
167.0,172.54,161.22,170.58
166.31,173.72,173.33,169.32
166.55,174.59,170.44,169.15
167.72,173.66,165.88,170.63
166.93,169.36,161.46,171.75
167.2,170.42,159.28,171.58
167.25,171.84,162.69,171.02
167.45,171.71,165.14,171.38
169.02,172.76,156.13,172.55
170.74,174.01,150.29,173.74
171.66,175.27,145.35,174.04
171.34,175.92,143.62,173.39
171.66,178.66,152.97,172.33
170.62,179.44,159.2,170.9
169.24,179.21,167.86,169.63
167.14,176.37,166.66,168.89
165.94,171.34,161.61,170.05
164.55,167.7,156.77,170.38
164.8,169.21,157.56,169.92
164.93,170.61,159.33,169.64
165.21,172.19,164.87,169.1
166.67,175.4,163.92,168.98
166.7,175.58,160.11,168.87
167.24,175.71,152.93,169.31
169.21,179.19,159.24,169.6
170.69,178.64,157.68,171.35
170.83,177.85,158.73,171.83
170.39,178.02,161.7,171.31
170.47,178.08,160.72,171.36
169.72,177.85,159.58,170.72
168.79,177.93,168.22,169.74
168.5,177.17,168.36,169.81
169.58,175.39,164.83,171.8
171.07,173.92,164.16,174.03
172.77,174.15,168.31,175.65
173.41,174.45,168.7,176.1
173.73,174.63,170.2,176.39
173.06,175.89,177.2,175.05
173.1,175.43,179.35,175.33
173.07,173.81,175.86,176.07
172.6,172.83,174.04,176.09
172.41,170.55,169.87,176.94
172.48,169.98,164.14,177.32
170.1,167.59,155.76,176.08
167.44,165.97,149.01,174.17
166.17,166.21,147.36,172.69
165.46,168.25,143.65,170.95
162.4,168.37,141.76,167.82
159.67,165.72,137.09,166.31
158.62,166.27,137.36,165.02
155.03,163.79,140.67,162.59
151.17,155.79,138.49,162.26
145.71,145.13,131.49,162.31
143.69,136.8,124.86,165.35
143.87,129.51,113.77,170.95
151.41,132.92,113.78,176.89
157.79,139.94,119.83,179.88
162.98,151.91,131.8,178.92
169.58,163.65,159.38,178.68
174.89,171.41,178.12,179.77
177.59,177.14,154.71,179.21
178.4,177.77,147.97,179.61
177.39,175.01,171.97,179.95
175.81,171.08,170.57,179.43
175.04,170.46,173.23,179.93
173.86,179.45,139.32,173.57
174.19,162.06,137.76,165.12
171.0,145.15,144.41,153.95
169.14,129.3,145.11,143.23
168.49,98.91,132.01,136.77
161.93,59.42,91.28,123.17
158.59,50.44,72.6,120.92
154.26,50.28,68.25,123.12
152.61,46.78,4.23,124.51
152.58,73.62,116.12,140.49
152.35,159.89,168.27,148.54
151.21,171.66,168.04,154.24
152.15,169.04,160.25,156.82
153.8,169.24,142.53,158.69
154.69,171.52,139.05,158.6
155.33,173.97,140.04,158.14
155.57,173.54,137.97,158.6
154.62,173.08,137.55,157.81
155.99,174.14,137.44,158.67
156.76,173.76,136.14,159.61
157.4,173.07,134.22,160.59
157.91,173.68,132.29,160.84
157.73,173.57,132.72,160.71
157.64,173.4,133.06,160.69
157.76,173.26,133.29,160.88
158.35,173.35,133.43,161.42
158.26,173.17,133.8,161.4
158.53,173.27,133.42,161.64
158.52,172.8,132.52,161.85
158.61,172.04,133.0,162.3
158.61,171.39,133.83,162.6
157.02,171.35,135.26,161.07
154.86,170.04,135.19,159.55
153.27,169.29,135.08,158.35
152.62,170.85,138.09,156.96
154.61,172.32,137.84,158.28
158.71,173.31,150.77,161.92
161.53,171.77,158.79,165.46
163.79,168.85,152.15,169.15
166.31,172.36,152.4,170.01
165.58,172.87,154.33,169.04
165.5,173.99,156.46,168.42
164.61,171.53,155.53,168.69
167.09,172.52,157.41,170.68
168.08,171.84,154.92,172.0
168.69,171.95,153.62,172.58
168.34,171.4,153.24,172.54
168.16,171.83,153.67,172.15
167.63,171.85,154.2,171.6
166.99,171.64,154.78,171.04
167.03,171.53,153.41,171.13
166.99,171.06,153.25,171.31
167.11,170.84,153.29,171.54
167.54,170.47,153.43,172.16
168.42,171.44,154.66,172.58
167.97,171.41,152.93,172.21
169.02,171.33,149.32,173.22
169.46,169.07,141.11,174.63
169.41,168.23,139.15,175.0
169.33,168.85,142.56,174.87
170.7,169.9,150.18,175.75
173.18,171.71,154.14,177.35
172.86,171.61,150.73,177.02
172.76,171.05,145.61,177.18
172.93,170.78,137.19,177.44
172.04,170.9,137.83,176.47
170.58,171.27,140.47,174.82
171.23,174.08,148.91,174.1
170.79,174.98,156.71,173.2
169.59,173.6,154.07,172.71
167.57,169.62,147.6,172.61
167.3,169.06,144.71,172.74
166.84,168.97,146.58,172.25
166.99,169.09,150.68,172.38
167.92,170.22,156.61,172.84
169.75,170.93,158.2,174.09
169.66,170.81,156.95,173.95
170.88,171.87,155.58,174.72
171.1,172.28,156.07,174.76
171.6,172.77,158.15,175.03
171.4,172.84,160.31,174.93
171.7,172.67,160.54,175.27
171.21,173.08,163.52,174.65
171.89,174.42,167.09,174.63
171.24,173.76,162.88,174.26
170.28,173.39,162.56,173.51
170.15,173.63,164.43,173.27
169.8,173.37,165.32,173.13
169.39,173.27,164.77,172.72
