Hip,Knee,Ankle,Body
159.69,154.86,97.06,173.06
160.87,154.26,92.73,174.6
161.23,154.33,90.68,174.93
163.6,156.71,86.23,175.95
163.48,157.5,85.6,175.39
163.34,157.37,84.65,175.44
162.8,154.54,84.27,176.5
161.63,152.1,85.64,176.61
160.01,148.01,84.27,177.19
158.0,141.2,82.97,178.68
159.0,139.77,83.65,179.63
158.98,138.77,84.38,179.17
156.63,134.96,83.75,179.44
155.22,133.28,83.85,179.98
155.2,133.48,84.16,179.83
155.57,133.63,83.66,179.83
157.02,134.33,84.56,178.82
156.84,133.42,85.8,178.63
156.24,131.96,85.44,178.6
153.63,126.42,82.33,178.47
147.7,116.26,76.99,178.92
140.34,103.12,70.76,178.76
137.39,96.12,67.15,178.5
137.53,94.87,66.53,177.56
151.02,106.06,69.26,169.04
159.73,121.14,77.09,168.02
172.26,146.12,91.61,169.49
175.19,157.75,98.16,172.86
175.18,158.95,95.96,173.56
174.04,160.91,101.55,176.01
172.75,159.07,94.52,175.59
174.0,158.16,96.29,173.93
175.87,160.02,96.33,173.27
176.48,162.82,101.4,174.42
178.55,166.0,99.97,173.77
177.5,156.21,90.77,169.27
179.16,149.13,81.67,164.02
178.17,141.56,77.51,160.89
177.13,140.3,80.17,161.17
178.43,143.07,82.57,161.54
177.57,153.41,97.64,168.14
172.69,155.46,96.5,173.92
165.72,152.34,97.54,179.51
161.76,152.71,95.81,176.33
162.74,153.28,98.64,176.89
162.7,153.1,99.47,176.96
166.88,155.96,104.26,179.74
167.66,148.96,91.38,175.35
170.8,143.39,81.67,169.2
172.81,142.33,76.86,166.52
172.88,142.77,81.0,166.71
173.06,143.96,83.62,167.48
172.81,152.21,96.89,171.89
174.98,158.58,105.47,173.48
174.19,161.19,107.76,175.78
172.84,161.88,106.11,177.56
171.6,161.6,105.72,178.68
170.37,160.48,104.48,179.33
169.87,160.49,104.43,179.76
173.49,156.91,91.48,174.16
176.67,149.22,84.27,166.87
177.59,142.14,83.2,161.86
178.36,143.86,85.93,162.0
179.76,152.44,95.89,165.33
179.99,160.18,106.29,169.41
170.81,157.47,104.46,177.14
166.9,155.25,101.56,179.73
162.48,154.21,101.16,176.21
163.86,155.01,100.97,177.13
166.05,152.64,102.74,179.07
169.64,148.27,95.68,172.79
171.71,144.55,85.51,168.9
175.18,142.2,81.82,164.33
175.43,143.36,83.34,164.68
177.01,149.01,88.07,166.22
178.5,156.36,99.01,168.7
178.38,161.0,106.54,171.67
175.86,163.93,103.0,176.03
173.23,162.48,104.55,177.84
172.15,162.1,104.53,178.7
171.75,162.8,106.65,179.41
170.4,156.09,97.05,176.85
168.25,148.49,89.47,174.66
170.67,140.71,78.94,167.8
173.29,138.95,74.7,163.96
177.05,144.24,80.37,163.37
178.1,148.48,84.71,164.18
179.64,156.42,94.64,167.42
176.44,154.2,94.57,169.56
174.87,154.7,95.7,171.4
174.64,154.08,93.57,171.33
173.82,154.49,93.99,172.41
175.62,151.93,92.77,168.72
173.14,143.83,81.29,166.08
172.77,137.33,68.5,162.8
176.71,136.38,68.26,158.59
177.41,137.61,73.56,158.53
178.94,142.25,77.06,159.99
179.96,151.81,90.43,164.73
178.54,154.06,99.43,167.81
177.69,158.22,99.5,170.93
176.68,160.72,101.04,173.32
174.7,164.51,104.21,177.34
171.34,163.08,103.99,179.78
171.8,159.41,97.36,177.3
171.41,151.86,84.53,173.46
175.12,144.94,77.19,165.64
178.04,145.22,79.64,162.78
179.35,149.92,84.3,163.1
179.73,156.99,97.76,168.19
177.31,161.79,106.91,173.17
175.86,166.05,105.4,177.04
174.25,163.86,102.59,177.41
169.36,162.87,102.99,178.25
170.0,163.42,107.96,178.67
164.24,163.75,102.25,172.81
168.51,152.27,88.49,176.91
169.78,144.27,82.71,171.13
174.15,146.12,82.85,167.53
177.73,150.06,88.9,166.64
