Hip,Knee,Ankle,Body
179.5,168.73,93.56,174.95
179.27,169.26,91.03,173.96
178.48,169.79,91.31,173.43
178.17,170.28,91.7,173.35
178.44,170.47,92.32,173.71
178.18,170.77,92.85,173.57
178.57,170.49,93.23,173.81
179.14,169.87,93.84,174.06
179.94,168.72,93.83,174.18
179.12,168.75,93.75,173.36
178.63,170.1,94.26,173.64
179.33,171.59,95.31,175.11
178.46,171.68,96.02,177.35
177.34,171.69,97.32,178.46
175.62,170.68,96.82,179.64
174.52,169.4,96.04,179.91
173.28,167.82,94.83,179.51
172.86,166.46,93.74,179.81
171.84,164.09,92.87,180.0
167.35,156.18,90.07,179.65
163.21,148.41,86.04,179.67
160.36,140.27,83.77,178.92
158.32,130.68,79.36,175.91
153.19,118.9,74.32,174.71
148.02,107.4,68.69,173.94
142.61,98.2,65.35,173.89
142.03,96.91,65.41,174.07
144.84,102.35,68.17,173.97
154.28,115.72,74.22,170.85
162.41,136.76,86.27,174.35
164.58,148.46,98.44,178.54
162.34,147.83,98.21,179.45
162.35,146.88,96.39,179.95
165.93,151.37,97.04,178.78
167.85,154.5,98.69,178.54
172.48,158.8,101.59,176.31
172.46,157.7,100.93,176.02
172.29,150.15,88.37,172.24
174.19,147.53,80.93,168.87
174.39,147.5,80.86,168.34
177.17,149.32,83.19,166.69
177.39,153.63,93.19,168.79
174.68,162.15,105.87,176.25
170.85,160.86,103.29,179.32
167.75,158.71,100.6,178.59
167.77,158.42,101.0,178.79
169.81,159.24,103.22,179.57
170.86,154.02,97.03,175.45
171.78,148.43,85.91,171.77
170.42,141.68,80.62,169.39
170.11,139.02,80.36,168.22
172.06,140.43,84.05,167.11
171.04,149.82,96.01,173.18
168.7,156.48,103.62,179.11
166.43,157.89,103.74,177.85
164.97,156.68,102.46,177.09
167.49,159.86,104.7,177.88
169.52,161.89,108.6,178.84
170.02,153.27,92.01,176.07
172.38,146.82,80.7,170.56
171.69,144.65,79.86,169.98
173.11,145.78,81.18,168.98
172.38,147.35,87.12,170.74
171.83,154.58,98.04,175.09
169.05,158.0,100.1,179.82
166.48,159.02,100.81,177.04
166.4,160.53,101.64,176.2
170.0,164.49,109.39,177.91
169.55,158.65,97.68,179.48
171.93,153.68,86.32,174.45
173.73,149.93,80.56,170.87
174.31,149.97,82.74,170.25
175.6,151.7,84.29,169.79
176.2,158.03,94.57,172.54
173.31,163.69,106.44,178.41
170.7,166.69,106.76,177.43
170.76,165.9,103.01,177.8
170.84,166.01,103.23,177.82
172.25,164.59,98.87,179.94
174.49,158.08,88.05,174.3
172.44,148.56,80.46,171.47
171.8,145.44,79.58,170.39
171.58,145.6,80.42,170.61
169.71,149.71,89.76,174.27
169.46,158.01,100.6,179.04
167.88,159.6,104.3,178.4
166.65,158.1,102.2,177.91
167.05,158.76,101.18,177.88
168.55,158.53,100.71,179.56
171.65,154.01,87.27,174.79
168.4,143.06,79.38,172.12
168.0,139.88,78.34,170.79
171.49,140.78,78.37,167.7
176.63,144.68,84.8,164.7
174.4,150.67,96.49,170.09
171.56,154.64,103.47,175.15
170.92,156.23,101.23,176.8
171.99,157.73,99.1,176.56
175.32,158.22,99.72,173.48
178.64,157.83,98.9,170.09
176.91,153.72,89.72,169.79
176.31,148.67,81.96,167.71
176.38,148.1,82.32,167.37
179.54,151.32,83.59,164.93
177.67,155.64,95.87,169.77
173.53,162.47,108.06,177.6
171.0,166.73,99.79,177.19
171.92,165.72,98.8,178.79
172.68,164.13,99.72,179.6
173.38,163.91,99.44,178.54
173.43,161.27,97.48,177.04
169.57,151.1,89.43,175.57
168.67,144.43,84.34,172.9
172.54,146.26,85.08,170.07
179.6,153.34,88.55,165.85
177.6,159.93,93.96,172.1
175.37,162.85,102.47,175.65
174.35,164.48,104.53,177.75
175.26,164.56,102.57,176.86
