Hip,Knee,Ankle,Body
155.03,161.32,126.23,163.78
153.22,159.9,142.01,162.71
152.54,158.26,146.51,162.81
150.84,157.62,143.87,161.39
150.26,158.93,147.24,160.21
149.53,158.64,141.56,159.55
150.93,160.48,148.64,159.92
152.97,163.41,149.57,160.64
155.93,164.17,150.19,163.3
157.48,166.26,153.38,163.91
158.22,164.13,141.54,165.68
159.35,164.19,139.76,166.74
160.13,166.34,142.28,166.52
160.38,165.37,137.31,167.23
159.83,165.05,138.28,166.88
159.1,165.0,139.33,166.24
159.28,165.27,140.21,166.28
158.7,165.23,141.18,165.78
157.96,165.36,141.96,165.04
158.05,165.88,144.39,164.9
157.49,166.16,147.37,164.12
156.4,165.42,149.18,163.31
154.03,159.88,149.54,163.56
150.59,149.11,140.73,164.82
148.87,142.31,135.97,166.01
148.57,138.91,134.82,166.82
150.46,145.22,146.25,166.72
153.36,154.92,165.6,164.98
154.35,157.7,166.44,164.16
154.46,156.84,147.1,164.75
156.35,149.26,133.0,169.2
159.59,151.66,133.78,172.64
166.95,160.87,141.96,175.94
168.86,165.74,151.52,175.71
170.56,168.94,155.6,176.04
170.79,170.07,156.92,175.73
170.94,169.86,152.91,175.58
168.25,165.21,150.74,174.95
164.71,157.79,146.85,174.28
162.36,156.07,149.67,172.78
161.03,152.48,140.44,172.59
160.32,151.76,135.91,172.22
161.87,154.61,137.34,172.59
163.0,158.45,147.83,172.3
164.58,162.89,159.97,171.95
163.36,163.83,162.62,170.67
163.05,161.39,158.13,171.08
162.67,154.19,137.93,174.66
164.98,157.34,133.96,175.63
166.8,162.51,137.72,175.35
169.17,169.91,152.04,174.07
170.98,176.66,171.53,172.7
171.36,177.87,171.84,172.4
168.26,173.6,167.89,171.21
163.09,164.26,151.62,170.38
161.62,157.18,150.1,171.73
159.49,155.36,149.11,171.0
157.85,152.64,147.58,170.54
160.61,156.04,150.55,171.94
162.54,160.78,165.73,171.43
165.02,165.32,170.89,171.37
164.97,165.34,170.03,171.31
164.22,164.98,164.75,171.09
163.72,160.5,145.85,172.98
163.86,159.19,141.64,173.38
165.63,163.91,143.61,173.2
165.3,167.02,154.69,171.28
165.46,169.38,160.34,170.42
163.77,172.94,163.0,167.1
162.56,175.74,168.38,164.52
162.96,172.88,159.31,166.11
162.72,169.86,160.74,167.14
156.92,163.73,158.67,164.22
156.64,161.45,157.47,164.98
157.77,160.87,158.18,166.43
159.86,165.86,174.45,166.47
159.77,164.74,178.14,166.82
159.69,163.81,168.03,167.1
158.7,158.94,160.11,168.52
162.85,150.16,131.61,175.98
165.74,154.8,133.43,176.78
167.49,163.83,142.02,175.07
168.51,166.56,149.94,174.71
168.54,171.71,159.94,172.67
168.97,178.76,174.76,169.61
166.34,179.42,177.3,166.62
162.8,176.59,158.46,164.38
161.59,168.71,155.9,166.63
157.42,161.7,150.98,165.97
156.54,161.29,152.55,164.68
160.61,165.11,157.38,167.45
163.34,171.49,174.77,167.02
163.27,170.89,173.05,167.16
162.39,169.11,169.94,167.17
161.04,157.83,155.7,170.36
159.57,148.82,137.16,174.18
163.79,153.04,132.36,177.08
167.76,157.75,135.91,178.6
169.01,167.35,159.2,175.42
168.58,174.88,162.77,171.33
165.52,177.41,172.84,166.78
160.05,171.06,154.82,164.1
154.52,156.55,141.79,164.64
152.95,151.09,141.4,165.32
153.1,148.25,139.79,167.21
155.3,155.28,145.5,166.71
159.04,163.35,153.37,166.4
160.48,161.25,160.36,168.3
159.02,154.22,153.81,170.36
158.11,146.35,145.52,172.36
158.73,138.23,126.85,175.73
160.26,146.12,135.08,175.43
164.52,157.24,140.26,174.97
166.02,166.79,154.17,172.87
166.25,174.54,179.19,169.09
165.41,179.45,155.96,165.14
163.17,178.62,178.28,162.51
163.6,178.95,176.24,163.11
161.52,175.88,173.78,163.42
159.26,169.87,168.57,163.89
158.47,166.67,166.5,164.54
158.59,169.09,174.64,163.28
158.52,168.05,173.49,164.12
159.27,163.31,174.32,166.82
159.34,162.34,166.94,167.23
158.78,155.68,146.35,169.63
161.58,157.61,138.79,171.64
163.61,161.33,141.53,172.35
164.97,162.71,150.14,172.86
165.95,169.09,160.73,171.46
166.42,170.92,162.85,171.02
165.82,171.77,150.89,169.83
165.25,174.04,157.87,168.02
165.36,173.28,169.79,168.46
165.39,173.06,170.55,168.71
164.36,171.93,171.33,168.11
164.82,171.66,173.75,168.69
165.62,173.13,178.73,168.7
164.46,167.96,173.22,169.7
163.6,165.82,168.44,169.86
164.7,165.45,157.53,171.22
165.3,166.53,149.58,171.63
166.64,166.73,147.57,172.71
166.68,168.35,153.44,172.06
