Hip,Knee,Ankle,Body
167.4,171.08,137.76,171.5
166.07,170.32,138.43,170.58
164.83,169.6,139.25,169.73
163.96,168.74,139.66,169.28
163.68,168.42,140.98,169.16
163.44,168.04,141.68,169.07
163.22,167.95,142.45,168.88
162.87,167.86,142.78,168.55
162.78,168.37,144.9,168.19
162.31,167.9,143.23,167.92
162.38,167.78,144.03,168.06
161.92,166.88,144.04,168.02
160.28,165.12,145.24,167.22
157.7,160.79,143.07,166.83
155.79,158.26,141.33,166.17
155.59,157.69,139.73,166.24
154.5,154.62,137.66,166.29
149.87,143.29,130.57,166.5
146.94,136.52,123.52,166.89
149.27,141.5,127.73,167.4
149.57,147.17,139.41,165.8
154.4,158.78,155.55,164.03
155.36,162.16,144.88,164.11
155.29,156.91,138.67,166.07
156.98,150.31,133.49,170.58
158.84,149.86,129.73,173.46
164.06,159.82,135.01,173.95
166.7,163.69,139.48,174.5
169.98,170.72,149.64,174.63
168.78,172.46,153.72,172.56
166.07,171.07,153.67,170.21
163.26,166.51,146.42,169.38
162.12,165.36,144.3,168.58
159.82,164.73,137.2,167.05
159.13,163.49,136.39,166.7
158.85,159.32,128.24,168.34
158.46,158.1,130.33,168.61
159.11,159.12,131.94,168.27
161.24,166.15,147.27,167.61
163.6,171.98,161.6,167.27
162.81,171.36,161.56,166.96
162.01,169.26,160.0,167.17
160.92,162.77,153.72,169.1
160.98,158.92,141.73,171.34
164.2,160.0,139.44,174.0
166.8,163.62,142.41,174.83
167.02,169.52,139.52,172.36
166.51,169.94,137.73,171.65
164.92,170.18,142.81,169.51
164.11,170.34,143.8,168.64
163.84,167.6,140.7,169.5
160.25,160.36,134.03,169.29
156.24,156.96,133.65,166.67
156.0,150.36,128.48,169.25
157.24,153.37,132.23,169.67
158.21,162.01,152.25,166.71
158.94,166.26,160.06,165.53
159.05,165.23,159.48,166.28
158.33,159.63,158.31,167.79
156.07,149.5,142.46,169.92
157.66,148.28,135.45,172.18
161.34,156.41,138.28,172.56
162.77,160.81,144.46,171.7
164.17,168.72,160.3,169.78
164.35,174.54,153.96,166.98
162.6,178.32,154.9,163.36
157.54,173.53,151.54,160.44
154.18,165.72,138.99,160.72
151.54,160.81,136.97,160.36
148.22,157.2,136.65,158.85
143.19,153.62,137.3,155.76
143.41,147.27,131.65,158.3
144.69,149.09,133.63,158.83
148.29,153.49,136.36,160.5
155.28,170.86,148.55,159.7
157.56,174.11,149.76,160.35
162.23,175.44,150.28,164.39
163.8,175.83,150.39,165.76
165.3,175.83,153.07,167.26
160.75,174.87,159.26,163.25
161.67,179.76,178.91,161.56
164.69,168.26,166.32,159.48
170.76,150.79,152.91,155.62
178.24,130.64,140.3,153.81
166.45,112.26,125.65,154.75
155.54,95.51,128.78,160.17
152.14,95.24,125.73,163.92
141.29,78.65,120.4,167.21
140.61,84.58,136.24,169.14
143.34,95.24,142.65,167.64
138.39,93.78,160.9,171.74
139.41,98.77,159.44,172.98
146.35,110.19,162.29,169.99
162.55,136.82,171.22,167.69
179.48,160.49,159.27,166.84
170.49,162.65,174.37,160.99
163.92,166.52,161.44,156.84
157.09,170.02,163.88,152.04
154.44,170.03,144.46,149.41
148.79,173.24,178.97,145.37
144.8,178.68,170.56,145.46
144.24,168.66,161.7,149.59
144.2,161.52,144.01,152.75
144.69,158.76,131.99,154.71
146.29,160.53,129.23,155.55
150.51,166.5,136.46,156.95
151.01,167.94,138.47,156.87
150.19,167.18,135.38,156.47
147.96,165.11,130.5,155.25
145.19,160.2,125.23,154.86
145.34,157.47,127.1,156.32
144.56,154.99,125.81,156.7
144.07,153.97,123.7,156.71
144.4,154.4,123.16,156.8
145.42,155.58,124.7,157.24
145.72,156.16,126.46,157.15
146.94,156.91,128.8,157.97
148.46,156.62,130.16,159.65
150.31,158.65,134.12,160.54
151.15,160.54,139.82,160.41
151.26,162.52,141.62,159.5
153.58,165.93,139.76,160.19
157.03,164.99,133.46,164.12
157.8,164.4,130.75,165.21
158.11,163.29,128.53,166.1
158.59,164.52,132.15,165.99
158.85,166.12,132.01,165.49
158.88,166.12,133.95,165.51
158.68,165.99,136.26,165.37
158.55,165.99,138.58,165.2
158.44,165.32,141.82,165.4
157.96,165.6,142.33,164.85
157.84,166.61,145.18,164.28
158.08,167.95,149.72,163.86
157.26,167.59,151.15,163.17
155.67,165.42,151.15,162.59
153.72,162.21,150.55,162.08
151.41,153.22,145.17,163.62
148.54,145.49,140.85,164.21
145.85,140.49,140.37,164.44
148.07,147.58,156.09,164.34
149.96,153.51,166.65,163.05
151.74,155.86,162.98,163.17
152.31,155.72,151.7,163.56
154.13,147.24,133.54,168.59
156.8,148.36,131.15,171.43
164.08,161.64,142.7,173.01
167.08,164.33,151.18,174.53
169.87,168.31,159.1,175.33
170.2,169.85,161.36,175.42
169.79,169.08,157.02,174.93
167.77,165.06,151.61,174.55
164.52,155.74,145.68,174.94
161.27,153.55,141.33,172.3
160.24,155.42,144.17,171.23
161.82,156.74,143.89,171.83
162.88,157.52,144.21,172.56
163.61,160.01,148.17,172.41
165.24,166.1,160.07,171.61
163.71,166.0,162.33,170.34
163.28,164.03,160.07,170.44
162.26,159.02,146.23,172.06
165.41,160.72,142.03,174.17
167.62,164.72,146.41,174.89
170.04,171.12,153.88,174.49
