Hip,Knee,Ankle,Body
174.74,166.84,88.43,168.21
172.93,163.68,86.54,164.7
172.46,164.22,86.94,164.53
170.97,164.6,87.23,163.22
173.17,163.72,87.35,164.87
176.82,162.55,87.92,168.09
179.09,160.27,89.05,171.1
173.04,160.31,88.11,177.32
164.87,160.95,89.51,174.02
161.93,161.73,91.11,170.65
161.64,163.59,93.36,169.54
159.39,164.56,94.3,166.72
156.7,163.3,94.17,164.68
149.29,157.34,92.34,160.38
139.15,145.08,84.6,156.35
128.92,129.85,76.1,153.21
120.63,115.5,68.67,151.2
112.58,102.56,63.64,149.57
110.8,95.01,59.71,150.82
112.68,97.38,62.9,150.79
117.76,105.47,66.57,151.94
130.07,120.51,72.94,156.64
144.28,143.98,88.91,161.51
152.94,163.75,104.19,161.24
154.47,153.8,108.84,167.63
148.39,126.13,102.73,177.01
144.22,104.57,85.67,173.89
141.71,99.97,79.87,174.28
146.8,106.24,82.37,172.54
155.25,114.39,83.14,169.08
160.67,129.64,86.0,171.69
163.48,149.13,94.5,179.58
155.77,145.62,81.79,173.71
152.78,130.85,67.28,179.2
144.45,118.69,63.17,174.97
128.43,98.0,55.84,169.39
120.85,92.59,53.58,164.86
118.84,95.56,53.79,160.44
124.24,103.6,58.8,161.5
134.2,118.8,68.29,164.47
147.11,144.84,86.92,165.12
162.89,172.03,112.84,167.02
159.06,154.16,109.99,172.15
153.97,124.67,99.08,177.2
147.99,109.75,84.46,173.77
151.0,107.83,80.63,169.5
156.5,115.43,82.51,166.98
160.6,126.64,88.01,169.97
166.28,146.0,98.46,174.78
169.68,154.8,96.97,176.89
165.1,150.45,82.73,179.61
158.92,136.84,68.85,178.85
139.91,108.68,59.25,177.23
129.89,92.44,54.45,174.51
128.71,93.6,55.3,172.11
127.3,97.91,58.15,168.14
131.8,106.13,64.42,168.95
149.85,131.92,77.51,173.24
154.94,146.87,96.89,171.9
152.04,138.17,104.1,172.83
154.05,120.71,100.66,176.51
149.58,105.05,90.87,171.47
149.1,105.86,85.55,170.77
149.9,112.59,86.84,172.6
161.15,126.36,89.0,170.4
170.89,148.08,103.34,172.19
175.23,156.53,100.83,172.06
176.96,147.61,87.52,165.71
175.7,137.49,67.81,161.91
167.12,125.02,60.86,163.56
147.33,104.17,67.33,172.73
138.76,99.22,62.52,179.99
144.03,110.84,62.65,178.92
156.48,132.68,73.41,179.84
161.02,149.9,91.72,176.83
164.39,163.56,105.87,173.06
164.89,157.21,105.73,176.6
161.75,137.05,101.99,176.5
160.9,127.65,90.78,170.8
158.97,130.77,84.76,174.06
159.15,136.72,87.44,176.63
164.21,149.03,92.9,179.51
172.48,161.8,101.13,178.24
172.59,163.19,98.22,178.94
167.14,151.65,85.14,178.87
151.24,131.38,69.62,175.49
137.63,113.46,62.87,171.14
129.3,100.49,57.05,170.16
131.26,104.91,58.39,168.21
138.0,112.22,62.82,172.47
152.93,135.45,79.89,175.57
163.48,161.48,104.36,173.47
166.16,164.41,115.48,174.3
166.59,152.27,124.17,179.45
161.63,132.89,104.79,173.09
157.75,125.51,96.92,173.14
162.3,127.75,95.02,169.02
163.38,133.65,90.38,171.66
163.04,138.53,94.29,174.66
165.7,145.41,95.94,176.05
165.34,143.39,84.43,175.86
154.93,134.68,73.83,177.72
151.21,122.22,66.57,179.61
136.5,106.52,59.41,173.84
137.35,109.73,60.57,172.69
145.74,118.59,65.81,175.93
159.45,144.0,81.27,177.87
166.48,161.94,102.46,175.84
167.22,158.06,109.06,178.49
162.55,135.05,103.62,173.95
158.73,120.24,90.34,168.94
160.44,116.95,83.38,164.85
165.45,125.51,86.35,164.29
168.93,132.24,88.56,164.83
173.92,148.4,94.65,168.61
179.17,153.47,96.92,166.81
176.42,150.92,87.21,168.78
169.55,141.06,73.4,170.29
162.48,125.79,64.43,170.13
147.55,107.49,57.71,175.11
141.66,104.37,56.38,179.52
145.66,111.77,60.34,179.93
155.65,136.05,75.05,177.58
159.65,156.1,104.29,172.18
162.35,155.58,107.42,174.97
153.92,135.76,110.27,177.54
150.58,116.82,90.05,175.53
150.99,108.5,78.5,169.24
152.97,113.66,81.08,169.84
160.3,124.36,91.52,169.44
162.91,131.42,87.12,171.42
175.56,145.34,90.6,166.44
171.95,149.13,90.28,172.31
