Hip,Knee,Ankle,Body
174.32,164.68,85.11,166.7
171.74,164.4,85.08,163.89
169.85,164.38,85.27,162.0
167.11,162.5,84.73,158.27
170.16,161.86,85.75,160.83
177.69,158.09,86.32,166.55
179.4,158.34,86.21,168.49
175.68,159.05,86.46,173.91
167.26,160.43,88.27,176.91
163.97,161.1,90.96,173.12
161.54,161.07,91.48,170.58
161.3,164.31,93.37,168.67
158.17,162.08,92.28,166.72
148.76,156.19,89.74,160.4
138.55,145.13,83.76,155.63
129.13,129.02,74.61,153.93
124.46,118.53,69.4,153.13
116.57,104.37,62.79,152.5
111.83,96.39,58.75,151.09
115.61,99.58,59.74,153.28
121.36,107.23,63.78,155.8
130.05,120.53,71.74,157.54
143.33,145.48,93.15,160.17
155.48,165.12,105.55,163.12
158.19,158.23,104.61,169.34
151.61,128.18,99.57,179.3
144.16,104.72,86.26,173.88
146.7,103.48,81.45,170.84
150.7,108.97,81.53,169.43
152.12,112.35,78.85,170.8
164.16,130.69,88.44,169.45
167.18,145.68,94.38,174.9
168.53,146.28,84.98,173.62
157.92,130.42,66.13,175.81
146.8,115.36,61.23,178.85
130.48,97.85,55.97,171.93
120.25,91.59,54.57,165.64
123.45,96.25,54.71,165.61
128.39,103.03,57.62,166.96
135.75,116.45,66.0,167.12
148.46,143.32,89.15,167.18
160.52,167.13,106.86,167.17
158.7,150.66,110.35,173.57
154.94,128.57,101.76,178.33
149.39,110.8,88.33,173.01
154.48,111.06,84.56,167.52
158.78,118.13,85.17,166.05
166.84,133.01,92.01,167.69
172.27,151.93,104.01,172.45
178.9,160.57,105.59,170.81
170.6,156.42,91.85,177.24
160.19,138.8,70.67,178.37
142.67,115.06,64.66,175.26
133.64,97.96,58.83,175.25
129.46,94.78,58.17,172.38
127.63,97.25,59.7,169.05
127.84,100.11,63.63,168.17
141.99,123.69,76.21,170.03
149.29,140.72,95.74,170.12
149.4,137.08,96.35,171.37
155.52,120.87,96.37,174.41
154.77,107.82,87.18,167.1
153.03,107.14,85.71,167.11
153.89,113.63,88.7,169.07
162.56,123.53,85.75,167.13
175.76,145.38,98.42,165.23
172.4,154.72,102.51,158.44
177.26,149.91,91.65,160.4
176.98,137.38,73.2,160.41
162.51,122.01,82.19,166.34
153.22,109.12,76.22,170.31
145.74,104.99,73.63,177.4
143.11,113.25,79.7,176.11
154.08,132.4,87.77,177.19
160.73,151.76,97.29,175.68
160.99,165.22,112.82,168.92
163.81,159.73,111.56,174.17
163.78,141.99,103.53,176.67
160.06,124.15,91.03,169.54
162.91,128.09,87.61,168.32
166.83,138.4,89.33,169.94
170.23,147.58,93.48,172.69
171.12,162.1,100.12,179.95
174.72,163.25,98.91,176.94
168.68,154.3,87.29,178.53
153.27,132.71,71.46,176.64
138.92,113.48,62.3,172.55
134.34,103.64,58.14,173.3
134.55,107.54,60.0,170.44
143.37,117.73,65.51,174.8
155.48,136.69,79.18,177.12
163.28,159.94,109.74,173.89
167.68,163.37,106.99,176.5
165.55,155.5,112.72,178.19
164.86,139.07,99.5,173.35
161.8,133.59,91.43,173.19
161.97,133.29,89.03,172.32
164.98,140.15,90.83,173.49
168.26,144.99,94.91,172.84
173.96,153.9,97.95,172.11
172.54,148.3,89.64,171.21
166.31,140.37,76.36,173.83
155.33,125.81,69.46,178.08
141.16,108.95,62.97,176.48
141.56,109.82,62.37,176.87
146.89,113.94,65.83,179.7
164.03,142.84,81.47,176.68
171.84,161.24,102.67,178.29
174.12,161.01,106.01,176.09
171.54,142.7,100.48,169.49
166.56,126.42,86.01,163.96
167.94,122.64,77.23,159.43
170.09,125.76,79.81,159.47
173.56,137.94,90.34,163.41
176.77,155.8,100.67,163.86
175.86,159.32,99.4,165.3
178.17,154.17,91.41,168.51
168.77,142.13,78.5,171.63
160.27,125.54,67.46,172.22
144.84,106.19,59.96,178.2
140.84,104.59,56.04,177.97
144.13,113.87,61.15,177.45
154.9,138.27,74.85,175.76
162.76,155.64,95.67,175.82
164.32,155.13,102.03,177.23
162.49,145.03,104.52,178.85
152.96,116.74,92.18,172.41
153.47,114.13,85.05,169.32
161.65,120.51,84.97,164.23
166.19,127.22,91.18,164.29
165.12,136.03,90.62,171.01
173.05,147.59,93.09,169.98
176.13,152.23,92.5,169.35
167.65,142.5,75.71,172.17
165.24,132.98,68.9,169.4
151.58,121.27,66.45,177.55
147.93,111.08,63.25,176.19
153.35,122.63,70.08,176.97
161.71,146.02,89.0,179.06
168.4,163.61,110.98,177.08
165.08,157.58,117.32,176.24
152.8,121.47,96.84,176.24
149.68,101.72,90.59,168.61
148.03,97.27,83.79,166.41
154.36,106.37,86.05,163.34
162.56,117.24,86.07,162.8
165.65,127.83,89.18,165.4
178.29,140.13,99.87,160.56
175.3,146.14,94.26,166.84
167.74,136.78,82.86,169.44
162.17,122.85,68.1,166.63
156.59,114.31,62.11,169.4
153.4,113.58,62.18,172.6
157.77,127.85,70.53,175.57
165.71,151.85,88.51,179.57
166.11,164.32,109.25,174.41
165.56,155.86,113.02,177.81
156.19,121.83,104.15,173.39
145.76,95.17,96.66,167.02
146.47,87.59,86.56,161.21
148.67,92.56,86.35,162.18
150.84,97.88,84.98,163.29
160.29,119.6,87.03,166.98
171.58,149.58,97.37,172.01
171.95,149.67,94.38,171.51
168.34,139.66,80.32,171.23
161.51,125.77,71.16,172.33
155.21,112.22,65.21,171.65
154.83,114.35,68.29,172.25
153.84,126.99,75.73,179.58
160.66,147.56,88.78,177.32
168.11,163.96,104.1,176.46
167.13,154.16,111.63,179.77
155.66,119.21,96.08,172.37
147.01,91.85,85.21,163.52
142.65,84.16,79.83,162.45
144.11,90.47,83.94,165.0
147.67,98.2,83.12,167.43
157.28,124.11,83.11,172.04
166.09,139.75,92.97,172.57
166.44,141.58,86.2,173.19
167.89,134.38,74.46,169.61
164.17,128.97,78.55,171.34
158.72,123.08,68.0,174.56
155.6,128.55,71.54,179.85
157.73,150.07,91.48,173.13
165.33,165.73,108.23,172.99
162.9,158.14,120.49,174.19
158.25,129.61,103.89,176.31
152.35,101.93,92.86,166.41
152.66,93.3,83.93,160.18
153.32,98.05,84.89,161.12
153.64,102.74,85.04,163.12
159.84,120.27,86.84,167.2
167.48,137.07,89.94,169.71
174.88,140.95,85.83,164.95
175.67,129.32,74.76,157.69
162.61,118.47,65.94,165.08
158.2,109.45,60.72,164.62
155.14,107.62,72.72,168.02
158.9,120.83,74.62,171.14
164.2,139.91,86.76,174.65
167.81,155.3,110.03,179.49
167.5,146.51,113.87,176.2
152.52,112.24,99.23,173.1
150.76,88.55,80.43,159.64
146.12,81.56,78.95,159.52
150.14,87.77,79.26,158.93
154.94,92.9,81.92,157.69
